"exercise_id","category","common_mistakes","created_at","description","difficulty","equipment","form_tips","image_url","instructions","muscle_groups","name","updated_at","variations","video_url"
"a1b2c3d4-e5f6-7890-1234-abcdef223001","HIIT","Sacrificing form for speed; Half-depth squat; Minimal height on jump; Landing with straight legs; Poor core engagement; Looking down; Forward knee collapse.","2025-03-15T10:00:00.000000","Burpee box jumps combine the full-body conditioning of burpees with the explosive power of box jumps, creating an intense HIIT exercise that builds cardiovascular endurance, power, and total-body strength in minimal time.","Advanced","Plyo Box (12-30 inches), Non-slip Surface, Athletic Shoes","Full depth in squat position; Engage core throughout movement; Land softly with bent knees; Look at box during jump phase; Step back (not jump) during early progression; Drive arms upward during jump; Control descent to ground after box step-down.","https://example.com/images/burpee-box-jump.jpg","1. Begin standing facing box at appropriate distance (approximately 1-2 feet away).\n2. Perform burpee: squat down, place hands on floor, jump feet back to plank position.\n3. Perform push-up (optional for increased difficulty).\n4. Jump feet forward toward hands, returning to squat position.\n5. Drive through heels, extend hips, swing arms upward and jump onto box.\n6. Land softly with knees slightly bent in athletic stance on top of box.\n7. Step down (don't jump down) one foot at a time.\n8. Immediately begin next repetition upon returning to starting position.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""10""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Chest""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""7""}}}]","Burpee Box Jump","2025-03-15T10:00:00.000000","Burpee to Step-Up (lower impact); Lateral Burpee Box Jump; Single-Arm Burpee Box Jump; Burpee to Box Jump Over; Weighted Burpee Box Jump (holding light dumbbells); Burpee Box Jump with Tuck","https://www.youtube.com/watch?v=howto-burpee-box-jump"
"a1b2c3d4-e5f6-7890-1234-abcdef223002","HIIT","Excessive back arching; Incomplete kettlebell cleaning; Rushed transitions; Forgetting to breathe; Insufficient hip hinge; Improper rack position; Squatting instead of hinging.","2025-03-15T10:05:00.000000","The kettlebell thruster combines a front squat with an overhead press into one fluid movement, creating a metabolically demanding exercise that targets multiple muscle groups while significantly elevating heart rate for an effective HIIT component.","Intermediate","Kettlebell(s) (8-24kg), Non-slip Surface, Optional: Exercise Mat","Maintain neutral spine throughout movement; Keep kettlebell(s) close to body during clean; Elbows tight to body in rack position; Drive through heels during squat; Keep core braced during press; Use leg drive to help initiate press; Keep shoulders packed during overhead phase.","https://example.com/images/kettlebell-thruster.jpg","1. Begin standing with feet shoulder-width apart, kettlebell on floor between feet.\n2. Hinge at hips, grab kettlebell handle with one or both hands (depending on variation).\n3. Clean kettlebell to front rack position (held at shoulder level, elbow(s) tight to body).\n4. Initiate front squat by breaking at hips and knees simultaneously.\n5. Descend until thighs are parallel to ground or slightly below.\n6. Drive through heels to stand, using momentum to press kettlebell overhead.\n7. Fully extend arms at top of movement while maintaining alignment of wrist, elbow and shoulder.\n8. Lower kettlebell back to rack position and repeat squat to begin next repetition.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Triceps""},""primary"":{""N"":""6""}}}]","Kettlebell Thruster","2025-03-15T10:05:00.000000","Single-Arm Kettlebell Thruster; Double Kettlebell Thruster; Alternating Kettlebell Thruster; Bottom-Up Kettlebell Thruster; Kettlebell Thruster Complex; Heavy-Light Kettlebell Thruster Contrast","https://www.youtube.com/watch?v=howto-kettlebell-thruster"
"a1b2c3d4-e5f6-7890-1234-abcdef223003","HIIT","Lifting heels during squat; Inadequate row depth; Rounding lower back; Insufficient hip extension; Looking down; Rushing descent phase; Asymmetrical rowing pattern.","2025-03-15T10:10:00.000000","Dumbbell squat to row combines lower body strength with upper body pulling in a compound movement that elevates heart rate while building functional strength across multiple muscle groups, making it ideal for HIIT circuits.","Intermediate","Dumbbells (Pair), Non-slip Surface","Maintain neutral spine throughout; Drive knees outward during squat; Keep chest up during all phases; Fully extend hips at top of squat; Pull shoulder blades together during row; Keep elbows close to body during row; Maintain weight in heels during squat.","https://example.com/images/dumbbell-squat-row.jpg","1. Begin standing with feet shoulder-width apart, holding dumbbells at sides.\n2. Initiate squat by hinging at hips, then bending knees.\n3. Descend until thighs are parallel to ground or slightly below.\n4. Drive through heels to return to standing position, fully extending hips.\n5. Hinge forward at hips approximately 45 degrees while maintaining flat back.\n6. Pull dumbbells toward lower ribs, keeping elbows close to body.\n7. Squeeze shoulder blades together at top of row.\n8. Lower dumbbells with control and return to standing to begin next repetition.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Biceps""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""7""}}}]","Dumbbell Squat to Row","2025-03-15T10:10:00.000000","Single-Arm Squat to Row (alternating); Squat to Renegade Row; Curtsy Squat to Row; Wide-Grip Squat to Row; Tempo Squat to Row; Squat to Single-Arm Row Complex","https://www.youtube.com/watch?v=howto-dumbbell-squat-row"
"a1b2c3d4-e5f6-7890-1234-abcdef223004","HIIT","Wrist flexion during plank; Hips sagging too low; Excessive pike position; Uncontrolled transitions; Inconsistent breathing; Insufficient shoulder stabilization; Cheating range of motion.","2025-03-15T10:15:00.000000","The plank jack combines the core stabilization benefits of a plank with the cardiovascular intensity of jumping jacks, creating a challenging HIIT exercise that simultaneously builds core strength and elevates heart rate.","Intermediate","Non-slip Surface (Mat recommended)","Maintain rigid plank position throughout (straight line from head to heels); Keep shoulders stacked directly over wrists; Engage core continuously; Control leg movement speed; Keep neck neutral, eyes looking slightly ahead; Breathe rhythmically despite exertion; Push ground away with hands to engage shoulders.","https://example.com/images/plank-jack.jpg","1. Begin in high plank position with hands directly under shoulders, feet together.\n2. Engage core to maintain straight body alignment from head to heels.\n3. Jump feet outward to wider than hip-width apart (similar to jumping jack motion).\n4. Immediately jump feet back together to return to starting position.\n5. Maintain stable upper body and core throughout movement.\n6. Keep transitions smooth and controlled despite increasing fatigue.\n7. Maintain rhythmic breathing throughout set.\n8. Continue for prescribed time interval or repetitions.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Hip Adductors""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Hip Abductors""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Chest""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""5""}}}]","Plank Jack","2025-03-15T10:15:00.000000","Forearm Plank Jack; Plank Jack with Push-Up; Plank Jack to Mountain Climber; Weighted Plank Jack (ankle weights); Alternating Shoulder Tap Plank Jack; Plank Jack Burpee (combining movements)","https://www.youtube.com/watch?v=howto-plank-jack"
"a1b2c3d4-e5f6-7890-1234-abcdef223005","HIIT","Hunching shoulders; Poor knee tracking; Limited hip mobility; Insufficient weight transfer; Using momentum; Failing to maintain tension; Inconsistent depth on lunges.","2025-03-15T10:20:00.000000","The dumbbell reverse lunge to press combines lower body power with upper body pushing strength in an alternating pattern that creates a high metabolic demand, making it an excellent HIIT exercise that builds functional strength and cardiovascular endurance simultaneously.","Intermediate","Dumbbells (Pair), Non-slip Surface, Optional: Exercise Mat","Maintain upright torso during lunge; Drive through heel of front foot; Keep front knee aligned with toes; Fully extend arms during press; Engage core throughout movement; Control descent during lunge; Maintain shoulder retraction during press; Keep chin tucked slightly.","https://example.com/images/dumbbell-reverse-lunge-press.jpg","1. Begin standing with feet hip-width apart, holding dumbbells at shoulder height, elbows bent.\n2. Step backward with right foot into lunge position, creating 90-degree angles with both knees.\n3. Lower right knee toward floor without touching it.\n4. Drive through left heel to return to standing position, simultaneously pressing dumbbells overhead.\n5. Fully extend arms at top of movement, biceps by ears.\n6. Lower dumbbells back to shoulder height as you prepare for next lunge.\n7. Alternate legs for prescribed repetitions or perform all reps on one side before switching.\n8. Maintain braced core and upright posture throughout entire movement.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Triceps""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""7""}}}]","Dumbbell Reverse Lunge to Press","2025-03-15T10:20:00.000000","Single-Arm Lunge to Press (alternating); Forward Lunge to Press; Curtsy Lunge to Press; Lateral Lunge to Press; Walking Lunge to Press; Split Stance Lunge to Press (static position)","https://www.youtube.com/watch?v=howto-dumbbell-reverse-lunge-press"
"a1b2c3d4-e5f6-7890-1234-abcdef223006","HIIT","Excessive arm bend; Losing tension in battle ropes; Incomplete range of motion; Rigid knees; Limited shoulder mobility; Uncoordinated breathing; Poor stance width.","2025-03-15T10:25:00.000000","Battle rope slams are a high-intensity, low-impact exercise that combines powerful upper body movement with core stabilization, creating significant cardiovascular demand while building shoulder strength, power and endurance.","Intermediate","Battle Ropes (30-50 ft length, 1.5-2 inch thickness), Anchor Point","Maintain athletic stance throughout; Keep soft bend in knees; Generate power from hips and core; Use full shoulder range of motion; Keep spine neutral (avoid excessive arching); Engage core throughout; Breathe rhythmically with movement pattern; Maintain tension in ropes at all times.","https://example.com/images/battle-rope-slams.jpg","1. Begin standing with feet shoulder-width apart, knees slightly bent.\n2. Hold one end of rope in each hand with palms facing inward.\n3. Position yourself far enough from anchor point to maintain slight tension in ropes.\n4. Initiate movement by raising both arms overhead, keeping slight bend in elbows.\n5. Forcefully contract core and slam both arms downward, creating wave through ropes.\n6. Allow ropes to hit ground while maintaining control.\n7. Immediately raise arms to repeat movement in continuous fashion.\n8. Continue for prescribed time interval, maintaining consistent power and intensity.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Arms""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Grip Strength""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Power Development""},""primary"":{""N"":""8""}}}]","Battle Rope Slams","2025-03-15T10:25:00.000000","Alternating Waves; Outside Circles; Inside Circles; Power Slams; Lateral Slams; Jump Slams (adding lower body); Battle Rope Slam Burpee Complex","https://www.youtube.com/watch?v=howto-battle-rope-slams"
"a1b2c3d4-e5f6-7890-1234-abcdef223007","HIIT","Excessive forward lean; Limited knee drive; Arm swing too lateral; Landing flat-footed; Looking down; Overstriding; Poor breathing coordination.","2025-03-15T10:30:00.000000","Sprint intervals are short bursts of maximum-intensity running followed by recovery periods, creating one of the most effective HIIT modalities for developing speed, power, and cardiovascular fitness in minimal time.","Intermediate-Advanced","Flat Surface (Track, Field, Treadmill), Stopwatch/Timer, Athletic Shoes","Drive knees high during sprint phase; Push off with complete foot; Coordinate arm swing with leg action; Maintain slight forward lean from ankles; Look ahead, not down; Land midfoot to forefoot; Use recovery intervals fully; Focus on powerful acceleration.","https://example.com/images/sprint-intervals.jpg","1. Begin with thorough dynamic warm-up (5-10 minutes) including mobility work and progressive accelerations.\n2. Select appropriate work-to-rest ratio based on fitness level (1:2 or 1:3 for beginners, 1:1 for advanced).\n3. Start from stationary position or rolling start based on preference.\n4. Accelerate to maximum sustainable sprint speed for prescribed distance or time (typically 10-30 seconds).\n5. Focus on powerful, efficient running form throughout sprint phase.\n6. Transition to recovery interval (walking or light jogging) for prescribed duration.\n7. Repeat for total number of intervals (usually 4-10 rounds).\n8. Complete with proper cooldown including light jogging and stretching.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""10""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Hip Flexors""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""6""}}}]","Sprint Intervals","2025-03-15T10:30:00.000000","Hill Sprints; Stadium Stair Sprints; Pyramid Intervals (increasing/decreasing distances); Tabata Sprints (20s work/10s rest); Flying 30s (build up speed, then max sprint); Sprint-Float-Sprint (varying intensities)","https://www.youtube.com/watch?v=howto-sprint-intervals"
"a1b2c3d4-e5f6-7890-1234-abcdef223008","HIIT","Poor weight distribution; Not engaging core; Turning too wide; Landing too hard; Looking at feet; Arching back; Moving hips too high/low during push-up.","2025-03-15T10:35:00.000000","The lateral shuffle to push-up combines explosive lateral movement with upper body strength work, creating a comprehensive HIIT exercise that improves agility, cardiovascular fitness, and muscular endurance.","Intermediate","Non-slip Surface (Minimum 8 feet width clearance), Optional: Cone Markers","Maintain athletic position during lateral movement; Keep center of gravity low during shuffles; Land softly between transitions; Maintain proper push-up form throughout fatigue; Keep core engaged during entire movement; Breathe rhythmically; Move with control rather than just speed.","https://example.com/images/lateral-shuffle-pushup.jpg","1. Place two markers approximately 6-8 feet apart (or use natural markers like floor tiles).\n2. Begin in athletic stance: feet shoulder-width apart, knees bent, chest up.\n3. Push off outside foot to initiate lateral shuffle toward first marker.\n4. Use quick, short steps while maintaining low center of gravity.\n5. Upon reaching marker, immediately drop into push-up position.\n6. Perform one complete push-up with chest touching floor and arms fully extending at top.\n7. Quickly return to standing and shuffle laterally to opposite marker.\n8. Repeat push-up at second marker, continuing pattern for prescribed time or repetitions.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Chest""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Triceps""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Hip Adductors""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Hip Abductors""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""6""}}}]","Lateral Shuffle to Push-Up","2025-03-15T10:35:00.000000","Lateral Shuffle to Plyometric Push-Up; Shuffle to Decline Push-Up; Shuffle to Diamond Push-Up; Shuffle to Shoulder Tap Push-Up; Weighted Shuffle (weighted vest) to Push-Up; Shuffle to Push-Up to Burpee","https://www.youtube.com/watch?v=howto-lateral-shuffle-pushup"
"a1b2c3d4-e5f6-7890-1234-abcdef223009","HIIT","Rounding lower back; Improper neck position; Uncontrolled descent; Using momentum; Insufficient hip extension; Not utilizing resistance; Inconsistent range of motion.","2025-03-15T10:40:00.000000","The resistance band squat pull combines lower body pushing movement with upper body pulling, creating a balanced full-body HIIT exercise that improves strength, posture, and cardiovascular fitness while using minimal equipment.","Beginner-Intermediate","Resistance Band (Medium-Heavy Resistance), Anchor Point (Door, Post, Rack)","Maintain neutral spine throughout; Drive knees in line with toes; Pull band to mid-torso level; Keep shoulders down and back; Engage core during all phases; Distribute weight through whole foot; Control band tension throughout range of motion; Fully extend hips at top of squat.","https://example.com/images/resistance-band-squat-pull.jpg","1. Secure resistance band to sturdy anchor point at mid-chest height.\n2. Stand facing anchor, holding band ends with arms extended, feet shoulder-width apart.\n3. Step back to create initial tension in band.\n4. Initiate squat by hinging hips back and bending knees.\n5. Descend until thighs are parallel to ground or slightly below.\n6. As you drive through heels to rise, simultaneously pull band toward torso.\n7. Pull elbows back and squeeze shoulder blades together at top of movement.\n8. Return to start position by extending arms and descending into next squat.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Biceps""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""6""}}}]","Resistance Band Squat Pull","2025-03-15T10:40:00.000000","Alternating Squat to Single-Arm Row; Pulsing Squat with Isometric Hold Row; Wide-Stance Squat Pull; Squat to High Row (pulling to upper chest); Squat Pull with Band Around Thighs (adding hip abduction); Squat Pull with Rotation","https://www.youtube.com/watch?v=howto-resistance-band-squat-pull"
"a1b2c3d4-e5f6-7890-1234-abcdef223010","HIIT","Excessive back arching; Poor kettlebell path; Incomplete hip extension; Early arm bend; Rushing negative phase; Improper breathing timing; Insufficient core bracing.","2025-03-15T10:45:00.000000","The kettlebell swing is a powerful hip-hinge movement that combines explosive strength development with cardiovascular conditioning, making it an excellent HIIT exercise for developing posterior chain power, core stability, and metabolic endurance.","Intermediate","Kettlebell (16-32kg depending on fitness level), Non-slip Surface, Optional: Exercise Mat","Initiate movement from hips, not arms; Maintain neutral spine throughout; Snap hips forward powerfully; Keep arms straight during swing phase; Breathe rhythmically (exhale at top); Keep shoulders packed and engaged; Allow kettlebell to float momentarily at top position; Control the descent through hip hinge.","https://example.com/images/kettlebell-swing.jpg","1. Stand with feet slightly wider than shoulder-width apart, kettlebell on floor between feet.\n2. Hinge at hips to grasp kettlebell with both hands, maintaining flat back.\n3. Hike kettlebell back between legs, creating tension in hamstrings and glutes.\n4. Explosively drive hips forward, straightening legs to propel kettlebell forward and up.\n5. Allow kettlebell to rise to chest or eye level through arm extension.\n6. As kettlebell begins to descend, hinge at hips and allow it to swing back between legs.\n7. Control the descent by engaging core and maintaining tension in posterior chain.\n8. Immediately transition to next repetition without pausing at bottom position.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Lower Back""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Grip Strength""},""primary"":{""N"":""6""}}}]","Kettlebell Swing","2025-03-15T10:45:00.000000","Single-Arm Kettlebell Swing; Alternating Kettlebell Swing; Double Kettlebell Swing; American Swing (overhead); Heavy Swing (increased weight, lower reps); Kettlebell Swing Interval Ladder (varied rep schemes)","https://www.youtube.com/watch?v=howto-kettlebell-swing"
