"exercise_id","category","common_mistakes","created_at","description","difficulty","equipment","form_tips","image_url","instructions","muscle_groups","name","updated_at","variations","video_url"
"a1b2c3d4-e5f6-7890-1234-abcdef224001","Flexibility","Rounding the back; Bouncing at end range; Hyperextending knees; Forcing spine to floor; Holding breath; Pulling with arms rather than relaxing; Rushing through positions; Not maintaining proper alignment.","2025-03-20T10:00:00.000000","The seated forward fold is a fundamental yoga pose that increases flexibility in the hamstrings, lower back, and hips while promoting mental relaxation through the forward folding action, creating a calming effect on the nervous system.","Beginner","Yoga Mat, Optional: Yoga Block, Yoga Strap","Sit with tall spine before folding; Inhale to lengthen, exhale to fold deeper; Focus on hinging at hips, not rounding spine; Keep feet active with flexed ankles; Allow gravity to deepen stretch rather than forcing; Maintain natural curve in lower back; Relax shoulders away from ears; Progress gradually with consistent practice.","https://example.com/images/seated-forward-fold.jpg","1. Begin seated on mat with legs extended straight in front, feet together or slightly apart.\n2. Place hands beside hips, press sitting bones into floor, and sit with tall spine.\n3. Inhale, lengthen spine upward, reaching crown of head toward ceiling.\n4. Exhale, hinge forward from hips (not waist), maintaining length in spine.\n5. Reach hands toward feet, holding ankles, feet, or using strap around feet if needed.\n6. Relax neck, allowing head to hang naturally without strain.\n7. Hold position for 30-60 seconds, breathing deeply and allowing body to relax deeper with each exhale.\n8. To release, inhale while slowly rolling up through spine, returning to seated position.","[{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""10""}}},{""M"":{""name"":{""S"":""Lower Back""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Spine""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Nervous System Relaxation""},""primary"":{""N"":""7""}}}]","Seated Forward Fold","2025-03-20T10:00:00.000000","Wide-Legged Forward Fold; One-Legged Forward Fold; Head-to-Knee Forward Fold; Forward Fold with Spinal Twist; Strap-Assisted Forward Fold; Dynamic Forward Fold (pulsing); Elevated Seated Forward Fold (using block)","https://www.youtube.com/watch?v=howto-seated-forward-fold"
"a1b2c3d4-e5f6-7890-1234-abcdef224002","Flexibility","Collapsing chest; Sinking into shoulders; Rounding upper back; Jutting chin forward; Hyperextending knees; Forcing hips open; Holding breath during discomfort; Not maintaining length in spine.","2025-03-20T10:05:00.000000","The butterfly stretch opens the inner thighs and hips by positioning the legs in a diamond shape with soles of feet together, creating an effective flexibility position that combines hip opening with gentle spinal extension for improved posture and reduced lower back tension.","Beginner","Yoga Mat, Optional: Yoga Blocks (to place under knees for support)","Keep spine long throughout stretch; Draw shoulder blades down and back; Engage core lightly for support; Press knees down with gravity, not force; Keep feet relatively close to body for deeper stretch; Breathe into areas of tension; Maintain natural curve in lower back; Keep neck aligned with spine.","https://example.com/images/butterfly-stretch.jpg","1. Begin seated on mat with tall spine, legs extended in front.\n2. Bend knees and bring soles of feet together, allowing knees to fall open to sides.\n3. Draw feet in toward groin to degree appropriate for your flexibility level.\n4. Clasp hands around feet or ankles, maintaining length in spine.\n5. Gently press outer thighs or knees toward floor using gravity rather than force.\n6. On inhale, lengthen spine upward; on exhale, hinge forward slightly from hips if comfortable.\n7. Hold for 30-90 seconds, breathing deeply and allowing muscles to release with each exhale.\n8. To release, gently assist knees back together, then extend legs in front.","[{""M"":{""name"":{""S"":""Hip Adductors""},""primary"":{""N"":""10""}}},{""M"":{""name"":{""S"":""Groin""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Hip Flexors""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Lower Back""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Pelvic Floor""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Inner Thighs""},""primary"":{""N"":""9""}}}]","Butterfly Stretch","2025-03-20T10:05:00.000000","Reclined Butterfly; Dynamic Butterfly (gentle bouncing); Butterfly Against Wall; Butterfly Forward Fold; Elevated Butterfly (sitting on block); Standing Butterfly; Supported Butterfly (blocks under knees)","https://www.youtube.com/watch?v=howto-butterfly-stretch"
"a1b2c3d4-e5f6-7890-1234-abcdef224003","Flexibility","Lifting shoulders toward ears; Collapsing chest; Hunching forward; Letting elbows drift apart; Pulling head forward; Allowing wrists to bend; Holding breath during intensity; Forcing instead of easing into stretch.","2025-03-20T10:10:00.000000","The doorway chest stretch effectively opens the chest, shoulders, and anterior deltoids by leveraging a doorframe for structural support, creating an accessible stretch that counteracts the forward-rounded posture common from desk work, driving, and daily activities.","Beginner","Doorway or Corner of Room","Maintain neutral spine throughout; Keep abdominals gently engaged; Position arms at 90-degree angles for optimal stretch; Keep shoulders down away from ears; Step forward gradually to increase intensity; Breathe deeply into chest expansion; Maintain proper neck alignment (avoid jutting chin); Adjust arm height for different aspects of chest.","https://example.com/images/doorway-chest-stretch.jpg","1. Stand in center of doorway with feet hip-width apart, maintaining good posture.\n2. Bend elbows to approximately 90 degrees, raising arms to shoulder height.\n3. Place forearms and palms against doorframe or wall on either side of doorway.\n4. Gently lean forward through doorway, keeping spine neutral and core engaged.\n5. Continue leaning until you feel a comfortable stretch across chest and front of shoulders.\n6. Hold position for 20-30 seconds while breathing deeply.\n7. To intensify stretch, take small step forward or adjust arm position (higher or lower).\n8. To release, engage core and gently push back to starting position.","[{""M"":{""name"":{""S"":""Chest""},""primary"":{""N"":""10""}}},{""M"":{""name"":{""S"":""Anterior Deltoids""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Biceps""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Pectoralis Minor""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Intercostals""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Anterior Serratus""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Respiratory Muscles""},""primary"":{""N"":""6""}}}]","Doorway Chest Stretch","2025-03-20T10:10:00.000000","Single-Arm Doorway Stretch; High Doorway Stretch (arms above shoulder height); Low Doorway Stretch (arms below shoulder height); Corner Stretch (using corner instead of doorway); Staggered-Stance Doorway Stretch; Kneeling Doorway Stretch; Dynamic Doorway Stretch (pulsing)","https://www.youtube.com/watch?v=howto-doorway-chest-stretch"
"a1b2c3d4-e5f6-7890-1234-abcdef224004","Flexibility","Rounding lower back; Hyperextending neck; Collapsing chest; Holding breath; Forcing depth beyond capacity; Lifting hip of stretched leg; Turning foot outward; Not maintaining equal weight distribution.","2025-03-20T10:15:00.000000","The standing quad stretch improves flexibility in the quadriceps and hip flexors while challenging balance and posture, creating an effective mobility exercise that can be performed anywhere without equipment and supports better movement patterns in running, jumping, and other activities.","Beginner","None Required, Optional: Wall or Chair for Balance Support","Maintain upright posture throughout; Keep core engaged for stability; Align knees (both standing and bent leg); Tuck pelvis slightly to intensify stretch; Use support if needed for balance; Focus on keeping hips level; Breathe deeply, especially when holding; Start with shorter holds and progress gradually.","https://example.com/images/standing-quad-stretch.jpg","1. Begin standing with feet hip-width apart, spine tall, and core engaged.\n2. Shift weight slightly onto left foot, maintaining good posture.\n3. Bend right knee, bringing heel toward buttocks.\n4. Reach back with right hand to grasp right ankle or foot.\n5. Stand tall, maintaining alignment in hips (avoid leaning or tilting).\n6. Gently draw right foot closer to buttocks, feeling stretch in front of thigh.\n7. Hold position for 20-30 seconds, breathing deeply and maintaining balance.\n8. Release foot carefully, then repeat on opposite side.","[{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""10""}}},{""M"":{""name"":{""S"":""Hip Flexors""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Rectus Femoris""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Iliopsoas""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Knee Joint""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Balance""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core Stability""},""primary"":{""N"":""6""}}}]","Standing Quad Stretch","2025-03-20T10:15:00.000000","Wall-Supported Quad Stretch; Lying Quad Stretch; Kneeling Quad Stretch; Dynamic Quad Stretch (leg swings); Strap-Assisted Quad Stretch; Elevated Quad Stretch (foot on bench); Progressive Quad Stretch (increasing tension)","https://www.youtube.com/watch?v=howto-standing-quad-stretch"
"a1b2c3d4-e5f6-7890-1234-abcdef224005","Flexibility","Rounding lower back; Hyperextending knees; Bouncing to increase range; Rotating body toward stretched leg; Forcing torso fully to leg; Holding breath during intensity; Stretching cold muscles; Neglecting alignment.","2025-03-20T10:20:00.000000","The standing hamstring stretch lengthens the hamstring muscles by placing one leg in an elevated position and hinging forward from the hips, creating an effective flexibility exercise that improves mobility for athletic movements while reducing risk of hamstring injuries.","Beginner","Chair, Bench, or Sturdy Raised Surface (12-24 inches high)","Maintain neutral spine throughout; Hinge from hips, not waist; Keep standing leg slightly bent for stability; Flex foot of extended leg to enhance stretch; Keep hips square and facing forward; Focus on lengthening spine rather than touching toes; Use controlled breathing to enhance stretch; Progress gradually by increasing height of surface.","https://example.com/images/standing-hamstring-stretch.jpg","1. Stand tall with feet hip-width apart, maintaining good posture.\n2. Place right heel on bench, chair, or raised surface with leg straight.\n3. Flex right foot, pointing toes toward ceiling to activate stretch.\n4. Keep hips square and facing forward (avoid rotation).\n5. Maintaining slight bend in standing leg, hinge forward from hips with long spine.\n6. Lower upper body until you feel stretch in back of raised leg.\n7. Hold position for 20-30 seconds, breathing deeply and focusing on relaxation.\n8. Slowly return to upright position and repeat on opposite side.","[{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""10""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Lower Back""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Gluteus Maximus""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Sciatic Nerve Pathway""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""IT Band""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Sacroiliac Joint""},""primary"":{""N"":""5""}}}]","Standing Hamstring Stretch","2025-03-20T10:20:00.000000","Seated Hamstring Stretch; Lying Hamstring Stretch; Standing Single-Leg Hamstring Stretch (without elevation); Strap-Assisted Hamstring Stretch; Dynamic Hamstring Stretch (leg swings); Partner-Assisted Hamstring Stretch; Progressive Hamstring Stretch (varying height)","https://www.youtube.com/watch?v=howto-standing-hamstring-stretch"
"a1b2c3d4-e5f6-7890-1234-abcdef224006","Flexibility","Arching lower back; Bringing chest too close to floor; Collapsing shoulders; Allowing hips to sink too low; Hyperextending knees; Forcing depth beyond capacity; Holding breath; Staying in position too long.","2025-03-20T10:25:00.000000","The low lunge stretch targets the hip flexors, quadriceps, and groin muscles by positioning one leg forward in a bent position while extending the other leg behind, creating an effective lower body opener that counteracts the negative effects of prolonged sitting.","Beginner","Yoga Mat, Optional: Yoga Blocks (for support)","Keep front knee aligned over ankle; Maintain upright posture; Engage core to protect lower back; Tuck tailbone slightly to intensify hip flexor stretch; Use yoga blocks under hands if needed; Press through back heel to activate muscles; Keep shoulders relaxed away from ears; Breathe deeply into areas of tension.","https://example.com/images/low-lunge-stretch.jpg","1. Begin in kneeling position on yoga mat.\n2. Step right foot forward between hands, establishing wide base for stability.\n3. Lower left knee to mat, ensuring right knee is directly above right ankle.\n4. Slide left leg back until you feel stretch in left hip flexor.\n5. Keep torso upright, place hands on right thigh for support.\n6. Maintain squared hips facing forward.\n7. Hold position for 30-60 seconds, breathing deeply and relaxing into stretch.\n8. Return to kneeling position and repeat on opposite side.","[{""M"":{""name"":{""S"":""Hip Flexors""},""primary"":{""N"":""10""}}},{""M"":{""name"":{""S"":""Psoas""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Groin""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Hip Mobility""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Core Stability""},""primary"":{""N"":""6""}}}]","Low Lunge Stretch","2025-03-20T10:25:00.000000","Crescent Lunge (arms overhead); Twisted Low Lunge (rotation); Kneeling Lunge with Lean Back; Low Lunge with Quad Stretch (grabbing back foot); Dynamic Low Lunge (gentle pulsing); Low Lunge with Side Bend; Supported Low Lunge (using blocks)","https://www.youtube.com/watch?v=howto-low-lunge-stretch"
"a1b2c3d4-e5f6-7890-1234-abcdef224007","Flexibility","Hunching shoulders; Rolling forward; Turning palms upward; Jutting chin forward; Allowing elbows to wing out; Arching lower back; Holding breath; Forcing arms beyond comfortable range.","2025-03-20T10:30:00.000000","The hand clasp behind back stretch opens the chest, shoulders, and arms while improving posture by drawing the arms behind the back in a clasped position, creating an effective counterpose to the forward-rounded position common in modern daily activities.","Beginner","None Required","Keep chest lifted throughout movement; Draw shoulder blades down and together; Maintain neutral neck position; Engage core lightly to support posture; Start with hands wider and gradually work inward; Use controlled breathing to enhance stretch; Keep wrists in neutral alignment when possible; Progress gradually with consistent practice.","https://example.com/images/hand-clasp-behind-back.jpg","1. Stand with feet hip-width apart, maintaining good posture with chest lifted.\n2. Relax shoulders down away from ears and take deep breath.\n3. Bring right arm behind back, bending elbow with palm facing outward.\n4. Bring left arm behind back from below, bending elbow with palm facing inward.\n5. Clasp hands together behind back, adjusting grip for comfort.\n6. Gently straighten arms as much as possible while keeping shoulders down.\n7. Lift chest, draw shoulder blades together, and hold for 15-30 seconds.\n8. Release hands carefully, shake out arms, and repeat with opposite arm positioning.","[{""M"":{""name"":{""S"":""Anterior Deltoids""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Chest""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Biceps""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Forearms""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Rhomboids""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Rotator Cuff""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Shoulder Mobility""},""primary"":{""N"":""9""}}}]","Hand Clasp Behind Back","2025-03-20T10:30:00.000000","Towel-Assisted Hand Clasp; Strap-Assisted Hand Clasp; Forward Fold with Hand Clasp; Seated Hand Clasp; Dynamic Hand Clasp (gentle pulsing); Single-Arm Shoulder Stretch; Hand Clasp with Forward Hinge","https://www.youtube.com/watch?v=howto-hand-clasp-behind-back"
"a1b2c3d4-e5f6-7890-1234-abcdef224008","Flexibility","Twisting at waist rather than spine; Lifting opposite hip; Forcing rotation beyond capacity; Rounding forward while twisting; Collapsing chest; Holding breath during twist; Letting knees fall out of alignment; Jerking into position.","2025-03-20T10:35:00.000000","The seated spinal twist improves mobility throughout the spine while stretching the shoulder, chest, and hip muscles through controlled rotational movement, creating an effective flexibility exercise that promotes better posture, digestion, and spinal health.","Beginner","Yoga Mat, Optional: Yoga Block or Bolster for Support","Maintain length in spine throughout twist; Keep sitting bones grounded evenly; Initiate twist from base of spine upward; Use breath to enhance rotation (exhale to twist deeper); Keep shoulders relaxed away from ears; Engage core lightly for support; Maintain stacked position of vertebrae; Progress gradually, avoiding force.","https://example.com/images/seated-spinal-twist.jpg","1. Begin seated on mat with legs extended straight in front.\n2. Bend right knee and place right foot flat on floor outside of left thigh.\n3. Bend left knee and position left foot near right buttock (or keep left leg straight).\n4. Place right hand on floor behind hips for support.\n5. Inhale, lengthen spine upward; exhale, rotate torso to right.\n6. Bring left elbow to outside of right thigh, using it as leverage for deeper twist.\n7. Turn head to look over right shoulder, keeping neck aligned with twist.\n8. Hold for 30-60 seconds, breathing deeply, then slowly release and repeat on opposite side.","[{""M"":{""name"":{""S"":""Spinal Rotators""},""primary"":{""N"":""10""}}},{""M"":{""name"":{""S"":""Obliques""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Intercostals""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Shoulder Mobility""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Hip Mobility""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Lower Back""},""primary"":{""N"":""8""}}}]","Seated Spinal Twist","2025-03-20T10:35:00.000000","Supine Spinal Twist (lying down); Chair Spinal Twist; Standing Spinal Twist; Simple Cross-Legged Twist; Thread the Needle (modified on all fours); Reclined Twist with Bent Knees; Progressive Seated Twist (increasing rotation)","https://www.youtube.com/watch?v=howto-seated-spinal-twist"
"a1b2c3d4-e5f6-7890-1234-abcdef224009","Flexibility","Rounding spine; Not engaging core; Putting pressure on neck; Forcing position beyond capacity; Holding breath; Moving too quickly between positions; Maintaining poor body alignment; Placing hands incorrectly.","2025-03-20T10:40:00.000000","The cat-cow stretch increases flexibility and mobility in the spine through alternating between spinal flexion and extension, creating a gentle warm-up exercise that improves circulation to spinal discs while relieving tension in the back, neck, and torso.","Beginner","Yoga Mat","Coordinate movement with breath (inhale for cow, exhale for cat); Keep wrists aligned under shoulders; Keep knees aligned under hips; Move through entire spine, from tailbone to crown of head; Maintain consistent, controlled pace; Engage core gently throughout; Keep neck as extension of spine; Modify range of motion based on comfort.","https://example.com/images/cat-cow-stretch.jpg","1. Begin on hands and knees in tabletop position.\n2. Position knees hip-width apart, directly under hips.\n3. Place hands shoulder-width apart, directly under shoulders with fingers spread.\n4. Inhale, drop belly toward floor while lifting chest and tailbone toward ceiling (cow pose).\n5. Allow spine to arch naturally, lifting head to look slightly forward.\n6. Exhale, round spine toward ceiling while tucking tailbone and drawing navel to spine (cat pose).\n7. Draw chin toward chest, creating space between shoulder blades.\n8. Continue alternating between cat and cow poses for 5-10 complete breath cycles.","[{""M"":{""name"":{""S"":""Spine""},""primary"":{""N"":""10""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Neck""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Shoulder Mobility""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Lower Back""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Hip Mobility""},""primary"":{""N"":""7""}}}]","Cat-Cow Stretch","2025-03-20T10:40:00.000000","Standing Cat-Cow (against wall); Seated Cat-Cow; Cat-Cow with Extended Leg; Thread the Needle Addition; Cat-Cow with Hip Circles; Flowing Cat-Cow (continuous movement); Side-Bending Cat-Cow","https://www.youtube.com/watch?v=howto-cat-cow-stretch"
"a1b2c3d4-e5f6-7890-1234-abcdef224010","Flexibility","Rounding lower back; Hyperextending neck; Sinking into shoulders; Not engaging core; Placing hands too far forward or back; Forcing heels to floor; Holding breath; Bouncing in position.","2025-03-20T10:45:00.000000","The downward facing dog pose stretches and strengthens the entire body with emphasis on shoulders, hamstrings, calves, and back muscles, creating a comprehensive yoga position that combines flexibility and strength while providing a gentle inversion effect for improved circulation.","Beginner-Intermediate","Yoga Mat","Form inverted V-shape with body; Distribute weight evenly between hands and feet; Press firmly through hands, spreading fingers wide; Rotate forearms externally to create space in shoulders; Keep neck as natural extension of spine; Engage core to protect lower back; Bend knees if needed to maintain proper form; Focus on lengthening spine rather than heels touching floor.","https://example.com/images/downward-facing-dog.jpg","1. Begin on hands and knees in tabletop position.\n2. Spread fingers wide, gripping mat gently with fingertips.\n3. Tuck toes under and lift knees off mat.\n4. Raise hips toward ceiling, forming an inverted V-shape with body.\n5. Straighten arms and legs as much as comfortable, maintaining proper alignment.\n6. Press chest gently toward thighs, allowing head to hang naturally between arms.\n7. Engage core and press heels toward floor (they need not touch).\n8. Hold for 30-60 seconds, breathing deeply, pedaling feet if desired to deepen calf stretch.","[{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Lats""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Achilles Tendon""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""6""}}}]","Downward Facing Dog","2025-03-20T10:45:00.000000","Three-Legged Dog (one leg raised); Puppy Pose (modified with knees down); Dolphin Pose (forearms on floor); Wall-Assisted Downward Dog; Downward Dog with Bent Knees; Dynamic Downward Dog (pedaling feet); Chair-Assisted Downward Dog","https://www.youtube.com/watch?v=howto-downward-facing-dog"
