"exercise_id","category","common_mistakes","created_at","description","difficulty","equipment","form_tips","image_url","instructions","muscle_groups","name","updated_at","variations","video_url"
"b8f9054f-e31d-4a79-90b9-0ee8f3deffd4","Strength","Excessive shoulder flexion (indicated by elbows moving forward) transfers load to anterior deltoids. Full elbow extension at bottom position removes tensile stress from target muscles. Wrist hyperextension during concentric phase reduces brachioradialis activation. Momentum-driven swinging indicates excessive load and potential for capsular laxity in glenohumeral joint.","2025-03-09T04:53:34.784870","""The hammer curl is a strength exercise that primarily targets the biceps and forearms, with a neutral grip that also engages the brachialis muscle. This variation of the bicep curl is effective for building arm strength and improving grip stability, making it a valuable addition to upper-body workouts.""","Beginner","Dumbbells","Anchor elbows to lateral ribs to prevent anterior humeral glide. Maintain slight cervical retraction to avoid compensatory neck flexion. Use 30-45° shoulder extension to increase brachialis activation. Apply 'screwdriver' grip torque (external rotation) to enhance rotator cuff engagement. Progressively increase time under tension rather than weight for hypertrophy optimization.","https://static.strengthlevel.com/images/illustrations/hammer-curl-1000x1000.jpg","""1. Stand upright with feet shoulder-width apart, holding a dumbbell in each hand using a neutral grip (palms facing each other). 2. Keep your upper arms close to your torso and elbows stationary throughout the movement. 3. Exhale and curl the dumbbells upward toward your shoulders, maintaining the neutral grip. 4. Pause briefly at the top of the movement, squeezing your biceps. 5. Inhale and slowly lower the dumbbells back to the starting position with control. 6. Repeat for the desired number of repetitions.""","[{""M"":{""name"":{""S"":""Biceps""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Forearms""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Brachialis""},""primary"":{""N"":""7""}}}]","Hammer Curl","2025-03-09T01:04:12.039681","""1. Seated Incline Hammer Curl (120° bench angle increases brachialis stretch), 2. Offset Grip Hammer Curl (thumb-side weight bias enhances forearm recruitment), 3. Isometric Hold Hammer Curl (3-second peak contraction improves neuromuscular efficiency), 4. Alternating Cross-Body Curl (adduction component engages contralateral pectoralis minor for core integration).""","https://www.youtube.com/watch?v=zC3nLlEvin4"
"72b61e78-99bd-4992-80ef-2cc354947f0e","Strength","Excessive torso lean (>10°): shifts load to erector spinae and reduces lat activation. Pulling behind neck: creates impingement risk in glenohumeral joint. Partial range of motion: limits scapular mobility benefits and muscle fiber recruitment.","2025-03-09T04:53:37.568064","""A multi-joint pulling exercise targeting the latissimus dorsi through shoulder adduction and elbow flexion. The movement emphasizes scapular depression and retraction while maintaining spinal stability, utilizing both concentric (pulling) and eccentric (return) phases to maximize muscle activation.""","Beginner","Cable Machine","Maintain ribcage down position to prevent anterior pelvic tilt. Keep forearms vertical to minimize biceps dominance. Squeeze implement as if trying to bend the bar into a 'U' shape to enhance lat activation. Visualize pulling elbows toward hip pockets rather than hands toward chest.","https://static.strengthlevel.com/images/illustrations/lat-pulldown-1000x1000.jpg","""• Adjust thigh pad height to maintain full foot contact with floor and prevent torso lift\n• Grasp bar with pronated grip 1.5x shoulder width, creating 15-30° elbow angle at full extension\n• Initiate movement by depressing scapulae while maintaining neutral spine (thoracic extension)\n• Pull bar to sternum level with elbows tracking 45° anterior to frontal plane\n• Exhale during concentric phase (downward pull), inhale during eccentric return\n• Maintain 3:2 tempo - 3-second eccentric, 2-second concentric phase""","[{""M"":{""name"":{""S"":""Lats""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Biceps""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""3""}}}]","Lat Pulldown","2025-03-09T04:47:05.680234","""Close-grip underhand (increases biceps recruitment), Neutral-grip wide handle (reduces shoulder strain), Single-arm iso-hold (addresses muscular imbalances), Band-assisted (accommodates resistance curve for beginners)""","https://www.youtube.com/watch?v=CAwf7n6Luuc"
"487da4da-59e1-4098-b3d7-08b8796a1eb5","Strength","Overarching lumbar spine (increases shear forces on vertebral discs). Jerking momentum initiation (transfers load to passive connective tissues). Excessive wrist flexion (creates neural tension in carpal tunnel). Premature scapular protraction during eccentric phase (reduces time under tension for rhomboids).","2025-03-09T04:53:39.560911","A compound pulling exercise performed on a fixed-path machine that emphasizes scapular retraction and horizontal shoulder extension. The guided movement pattern reduces stabilizer muscle involvement while allowing targeted activation of the latissimus dorsi through concentric elbow flexion and eccentric elongation under load.","Beginner","Row Machine","Maintain ribcage-down position to prevent anterior scapular tilt. Keep elbows tracking at 30-45° from torso to optimize lat engagement. Use thumbless 'hook grip' to reduce biceps dominance. Initiate movement with scapular retraction before elbow flexion to prioritize posterior chain activation.","https://static.strengthlevel.com/images/illustrations/machine-row-1000x1000.jpg","""• Adjust seat height until chest pad sits snugly against sternum with feet flat on footplate\n• Grasp handles with neutral grip (palms facing midline), maintaining slight elbow flexion (10-15°) in starting position\n• Inhale deeply, engage core musculature, and depress scapulae before initiating movement\n• Exhale while smoothly pulling handles toward lower ribs by driving elbows posteriorly, achieving full scapular retraction at end range\n• Maintain cervical neutral alignment with gaze 45° downward to prevent cervical hyperextension\n• Inhale during 3-second eccentric return, maintaining tension by resisting machine's weight stack\n• Pause briefly at terminal elbow extension before next repetition (1-second isometric hold)""","[{""M"":{""name"":{""S"":""Lats""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Rear Shoulders""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Biceps""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Forearms""},""primary"":{""N"":""3""}}}]","Machine Row","2025-03-09T04:49:18.744004","Close-grip upright row (emphasizes upper trapezius). Underhand wide-grip row (increases latissimus dorsi stretch). Single-arm eccentric overload row (addresses muscular asymmetries). Seated cable row with trunk mobility (adds multiplanar stability challenge).","https://www.youtube.com/watch?v=8MKGArS7w7c"
"b50b95cb-7ba1-4a0d-8227-8b2953fa9715","Strength","""Momentum swinging (reduces eccentric loading and increases spinal shear forces), Partial hip flexion (underutilizes lower abdominal recruitment), Anterior pelvic tilt during descent (increases lumbar compression forces), Overgripping (promotes forearm fatigue over core engagement)""","2025-03-09T04:53:34.549443","A dynamic core strengthening exercise utilizing hip flexion and spinal stabilization against gravity. Biomechanically challenges the rectus abdominis through concentric contraction during leg elevation while engaging lats and scapular stabilizers to maintain shoulder integrity during hanging.","Intermediate","Pull-up Bar","Pre-activate transverse abdominis by imagining pulling belly button toward spine. Maintain cervical neutral alignment by focusing gaze forward. Prevent shoulder elevation through continuous lat engagement. Use chalk/grips to maintain secure hold without overgripping.","https://static.strengthlevel.com/images/illustrations/hanging-leg-raise-1000x1000.jpg","""• Assume pronated grip on pull-up bar with hands shoulder-width apart, fully depress scapulae to engage latissimus dorsi\n• Maintain neutral spine alignment with slight anterior pelvic tilt to engage deep core musculature\n• Inhale deeply to intra-abdominally pressurize before initiating movement\n• Exhale while simultaneously flexing hips to 90° and maintaining leg extension (knee angle 180°)\n• Pause momentarily at peak contraction with pelvis posteriorly rotated\n• Inhale during 3-4 second eccentric phase, resisting gravitational torque through controlled hip extension\n• Maintain static shoulder extension (30-45°) throughout movement cycle""","[{""M"":{""name"":{""S"":""Abs""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Hip Flexors""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Lats""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Obliques""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Forearms""},""primary"":{""N"":""4""}}}]","Hanging Leg Raise","2025-03-09T06:37:08.524190","\n• Bent-Knee Raise: Reduced lever arm decreases hip flexor demand for beginners\n• Weighted Ankle Raise: External load increases rectus abdominis activation\n• L-Sit Progression: Isometric hold at 90° hip flexion enhances core endurance\n• Windshield Wipers: Adds rotational component for oblique emphasis","https://www.youtube.com/watch?v=Pr1ieGZ5atk"
"b081ffcc-b332-43d9-a984-69e93f74d688","Strength","""Flaring elbows (reduces triceps isolation by recruiting lats), Using torso momentum (decreases mechanical tension on target muscles), Partial range of motion (limits sarcomere recruitment in all three triceps heads).""","2025-03-09T04:53:39.676682","""A single-joint exercise targeting the triceps brachii through elbow extension against cable resistance. The rope attachment allows full forearm pronation at peak contraction, enhancing lateral head activation while maintaining constant tension through the eccentric and concentric phases.""","Beginner","""Cable Machine, Rope Attachment""","Maintain cervical neutral alignment by keeping gaze forward. Prevent humeral anterior glide by engaging rear deltoids. Avoid wrist hyperextension by keeping knuckles aligned with forearm bones. Increase time under tension by pausing at full extension.","https://static.strengthlevel.com/images/illustrations/tricep-rope-pushdown-1000x1000.jpg","""\n• Stand facing cable machine with feet hip-width apart, knees slightly bent, and torso leaning 10-15° forward\n• Grasp rope ends with neutral grip (palms facing inward), elbows flexed at 90° and fixed against ribs\n• Exhale while extending elbows to push rope downward until arms fully extend, separating rope ends at terminal position\n• Inhale while maintaining elbow position during 3-second eccentric return to starting position\n• Maintain scapular depression throughout movement to prevent shoulder elevation""","[{""M"":{""name"":{""S"":""Triceps""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Forearms""},""primary"":{""N"":""3""}}}]","Tricep Rope Pushdown","2025-03-09T15:44:29.888662","""Reverse-Grip Pushdown (emphasizes medial head via supinated grip), Kneeling Pushdown (eliminates lower body momentum), Single-Arm Pushdown (addresses bilateral strength deficits)""","https://www.youtube.com/watch?v=vB5OHsJ3EME"
"da60d010-407f-44d8-b6d3-a1e02cc69daa","Strength","""Early arm bending (reduces power transfer from lower body), Bar drifting forward (increases shear forces on shoulders), Incomplete hip extension (limits power production), Rounded thoracic spine (compromises scapular mechanics), Heels lifting prematurely (reduces force production through posterior chain)""","2025-03-09T04:53:38.496881","""A complex Olympic weightlifting movement employing triple extension (hips, knees, ankles) through the kinetic chain. The exercise utilizes a stretch-shortening cycle in the posterior chain during the explosive second pull phase, followed by rapid scapular rotation and overhead stabilization in the catch position.""","Advanced","Barbell","Maintain vertical bar path through all phases. Keep chest up during first pull to prevent forward drift. Engage lats to keep bar close to body during second pull. Achieve full hip extension before initiating pull-under. Maintain active shoulder stabilization with external rotation in catch position. Distribute weight evenly through entire foot during extension phases","https://static.strengthlevel.com/images/illustrations/snatch-1000x1000.jpg","""\n• Assume starting position with feet hip-width, barbell over midfoot. Grip bar wider than shoulder-width using hook grip. Set shoulders over bar with neutral spine and braced core\n• Initiate first pull by driving through legs while maintaining flat back. Keep bar path vertical as knees extend, shoulders staying slightly ahead of bar\n• Accelerate through second pull with explosive hip extension, knee re-bend, and vertical shrug. Maintain straight arms until full triple extension is achieved\n• Pull body under bar by rapidly dropping into overhead squat while rotating elbows forward. Catch bar in stable overhead position with locked elbows and active shoulders\n• Stand to full extension while maintaining bar control overhead. Exhale during ascent, inhale briefly at standing position\n• Return bar to platform with controlled eccentric movement""","[{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Lower Back""},""primary"":{""N"":""7""}}}]","Snatch","2025-03-09T16:09:17.294395","""Power Snatch (catch in partial squat position), Hang Snatch (start from above-knee position), Muscle Snatch (no lower body involvement), Snatch Balance (focus on rapid footwork and catch position)""","https://www.youtube.com/watch?v=9xQp2sldyts"
"0b396f29-c28b-409c-a053-31634850b3ca","Strength","Elevating scapulae (reduces biceps activation by 23% per EMG studies). Excessive shoulder extension (increases anterior capsule stress). Momentum-driven repetitions (reduces time under tension by 38%).","2025-03-09T04:53:35.949894","""A brachium-focused isolation exercise utilizing a angled bench to maintain humeral stabilization, forcing concentric and eccentric elbow flexion primarily through the biceps brachii. The inclined position (45-60°) limits shoulder involvement and increases mechanical tension at the musculotendinous junction through peak contraction.""","Intermediate","""Preacher Bench, Barbell or Dumbbells""","Maintain posterior pelvic tilt to prevent rib flare. Keep radial and ulnar styloid processes aligned to prevent wrist deviation. Apply 'bending the bar' cue to enhance supinator engagement. Maintain 25° wrist extension throughout movement.","https://static.strengthlevel.com/images/illustrations/preacher-curl-1000x1000.jpg","""\n• Adjust bench height until axillary fold contacts pad edge with feet flat\n• Grip bar shoulder-width with supinated grip (palms up), elbows fully extended\n• Inhale diaphragmatically while maintaining neutral cervical spine\n• Initiate curl by flexing elbows to 90° while exhaling (4s concentric)\n• Pause at 90° flexion with scapulae depressed\n• Lower weight with 4-second eccentric phase while inhaling\n• Maintain 5° elbow hyperextension at bottom for full ROM""","[{""M"":{""name"":{""S"":""Biceps""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Brachialis""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Forearms""},""primary"":{""N"":""5""}}}]","Preacher Curl","2025-03-09T19:43:55.075845","""Incline preacher curl (55° bench increases brachialis activation), Reverse-grip preacher curl (pronated grip emphasizes brachioradialis), Unilateral preacher curl with rotation (incorporates supination against resistance)""","https://www.youtube.com/watch?v=fIWP-FRFNU0"
"7b1f2231-49ad-43c5-8146-1ac6f817f8d2","Strength","""Arching lower back during rotation (increases lumbar shear forces), Using momentum instead of muscular control (reduces core activation), Holding breath during concentric phase (limits intra-abdominal pressure)""","2025-03-09T04:53:33.493897","""A diagonal rotational exercise performed in the transverse plane that challenges anti-rotational core stability while engaging the kinetic chain. The movement combines spinal rotation with contralateral hip engagement, requiring coordinated activation of deep core musculature to resist axial compression.""","Intermediate","Cable Machine","""Maintain scapular depression throughout movement to prevent shoulder elevation. Keep chin tucked to maintain cervical neutral alignment. Distribute weight evenly between feet - 60% on heels, 40% forefoot. Rotate through thoracic spine rather than lumbar region to protect discs.""","","""\n• Adjust cable pulley to shoulder height and attach a single-handle. Stand sideways to the machine with feet hip-width apart in athletic stance\n• Grasp handle with both hands using interlocked grip. Position arms fully extended at pulley height, creating tension in the cable\n• Engage glutes and brace core as if preparing for a punch. Inhale deeply through the nose to pressurize abdominal cavity\n• Initiate movement from the hips by rotating rear foot into ground. Exhale forcefully while pulling cable diagonally across body to opposite hip\n• Maintain rigid torso alignment as arms travel through sagittal plane. Complete rotation by fully engaging obliques at end range\n• Inhale during 3-second eccentric return, maintaining constant cable tension. Prevent cable weight stack from touching down between reps""","[{""M"":{""name"":{""S"":""Obliques""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""4""}}}]","Cable Woodchop","2025-03-09T21:55:57.417738","""Kneeling Woodchop (removes lower body contribution), Reverse Woodchop (low-to-high pattern emphasizes different obliques fibers), Split Stance Woodchop (increases hip engagement and rotational stability demand)""","https://www.youtube.com/watch?v=IxN_XLSOqZE"
"12eb1d89-e77f-409c-a4dd-a45302dfb17c","Strength","""Early arm bending (reduces hip drive power), forward head posture during press (cervical compression), excessive lumbar extension at lockout (anterior pelvic tilt), losing barbell-body contact during pull phase (increases shear forces)""","2025-03-09T04:53:34.900497","A multi-joint Olympic lift utilizing triple extension (ankle-knee-hip) biomechanics to generate power through the kinetic chain. Combines a ground-to-shoulder clean phase (employing the stretch-shortening cycle) with an overhead press requiring coordinated scapulohumeral rhythm and core stabilization to maintain spinal neutrality under load.","Advanced","Barbell","Maintain barbell trajectory in frontal plane (vertical line over midfoot). Keep cervical spine neutral during catch phase. Engage lats during pull to prevent bar drift. Distribute weight through full foot during press. Maintain zygomatic arch alignment over bar throughout movement.","https://static.strengthlevel.com/images/illustrations/clean-and-press-1000x1000.jpg","""\n• 1. Stand with feet hip-width, barbell over midfoot. Hinge at hips with neutral spine, grip slightly wider than shoulders\n• 2. Inhale deeply, brace core. Initiate first pull by driving through heels, maintaining barbell proximity to shins (30° torso angle)\n• 3. At mid-thigh, explosively extend hips/knees/ankles (triple extension) while shrugging shoulders, exhaling sharply\n• 4. Pull body under bar by rotating elbows forward, catching barbell on anterior deltoids in front rack position with knees flexed (quarter squat)\n• 5. Stabilize for 1s. Inhale, then press bar overhead by driving through legs while maintaining ribcage down/core engaged\n• 6. Lock out elbows under bar with scapulae upwardly rotated. Lower bar to shoulders with control, then descend through eccentric phase""","[{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Triceps""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Forearms""},""primary"":{""N"":""5""}}}]","Clean and Press","2025-03-09T17:38:00.704064","""Power Clean + Push Press (reduced knee flexion), Hang Clean & Press (eliminates first pull), Dumbbell Clean & Press (unilateral loading), Split Jerk Press (staggered stance overhead stabilization)""","https://www.youtube.com/watch?v=ZFnQQ6Qx8Kg"
"1dbdc24d-7d0b-47bb-953b-492004baabad","Flexibility","""Rounding thoracic/lumbar spine (shifts stress to vertebral discs), hyperextending knees (strains cruciate ligaments), breath holding (increases blood pressure), forcing range with momentum (activates stretch reflex causing contraction)""","2025-03-09T04:53:40.290054","A biomechanically efficient stretch targeting the posterior chain through controlled hip flexion with spinal neutrality. The movement utilizes gravity-assisted forward bending to induce eccentric lengthening of the hamstrings while maintaining isometric engagement of the erector spinae to protect lumbar integrity.","Beginner","None","""Maintain cervical spine alignment with neutral head position. Distribute weight evenly between both legs. For deeper stretch, increase anterior pelvic tilt before descending. Use wall support if balance is challenging. Focus on posterior chain elongation rather than hand placement depth.""","","""\n• Stand with feet hip-width apart, weight evenly distributed through tripod foot (heel, 1st metatarsal head, 5th metatarsal head)\n• Engage core musculature by drawing navel toward spine\n• Initiate movement by anteriorly tilting pelvis and hinging at hips (not waist), maintaining neutral spinal alignment\n• Exhale while gradually lowering torso parallel to floor, allowing hands to rest on shins, ankles, or floor\n• Maintain slight knee flexion (5-10°) to prevent hyperextension and isolate hamstring stretch\n• Inhale to expand ribcage while maintaining stretch position\n• Hold 20-30 seconds without bouncing, then inhale deeply and engage glutes to return upright using hip extension""","[{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Lower Back""},""primary"":{""N"":""4""}}}]","Standing Hamstring Stretch","2025-03-09T21:56:07.650874","""Bent-leg Hamstring Stretch (reduces sciatic nerve tension), Elevated Foot Stretch (increases calf engagement), Seated Forward Fold (reduces balance demands), Yoga Strap-Assisted Stretch (allows gradual progression)""","https://www.youtube.com/watch?v=9qlxDNFERJo"
