"exercise_id","category","common_mistakes","created_at","description","difficulty","equipment","form_tips","image_url","instructions","muscle_groups","name","updated_at","variations","video_url"
"a1b2c3d4-e5f6-7890-1234-abcdef123450","Cardio","Overstriding; Heel striking heavily; Hunching shoulders; Holding breath; Incorrect posture (leaning too far forward/backward)","2025-03-14T10:00:00.000000","Running on a treadmill provides a controlled environment for cardiovascular exercise, allowing adjustment of speed and incline to suit fitness levels. Improves cardiovascular health, burns calories, and strengthens lower body muscles.","Beginner","Treadmill","Maintain an upright posture with relaxed shoulders; Look forward, not down; Land midfoot rather than heel striking; Keep stride length comfortable, avoid overstriding; Swing arms forward and back, not across the body; Breathe rhythmically.","https://example.com/images/treadmill-running.jpg","1. Select program/manual mode. Start walking (3-4 mph).\n2. Increase speed to run.\n3. Maintain pace/adjust.\n4. Keep core engaged.\n5. Cool down walk 3-5 min.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""4""}}}]","Treadmill Running","2025-03-14T10:00:00.000000","Incline Running; Interval Training; Speed Work","https://www.youtube.com/watch?v=howto-run-treadmill"
"a1b2c3d4-e5f6-7890-1234-abcdef123451","Cardio","Seat too high/low; Handlebars positioned incorrectly; Rounding the back; Bouncing in saddle; Knees flaring out/in; Pedaling with only toes/heels.","2025-03-14T10:05:00.000000","Stationary cycling is a low-impact cardiovascular exercise excellent for improving endurance, strengthening lower body, and burning calories without stressing joints. Resistance and cadence can be varied.","Beginner","Stationary Bike","Adjust seat for slight knee bend (25-35 deg) at bottom stroke; Position handlebars comfortably; Keep back straight, core engaged; Pedal smoothly; Keep knees aligned over feet.","https://example.com/images/stationary-cycling.jpg","1. Adjust seat/handlebars.\n2. Select resistance/program.\n3. Pedal at steady cadence (70-90 RPM).\n4. Maintain effort.\n5. Vary resistance/cadence for intervals if desired.\n6. Cool down 3-5 min easy pedaling.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""3""}}}]","Stationary Cycling","2025-03-14T10:05:00.000000","Hill Climbs; Sprints; Endurance Ride; Standing Climbs","https://www.youtube.com/watch?v=howto-stationary-bike"
"a1b2c3d4-e5f6-7890-1234-abcdef123452","Cardio","Pulling primarily with arms; Rounding back; Shooting slide; Improper recovery sequence; Gripping handle too tight.","2025-03-14T10:10:00.000000","Rowing provides a full-body, low-impact cardio workout engaging legs, core, and upper body. Improves cardiovascular fitness, builds muscular endurance, efficient calorie burn.","Intermediate","Rowing Machine (Ergometer)","Maintain straight back (hinge at hips); Sequence Drive: Legs -> Core -> Arms; Sequence Recovery: Arms -> Core -> Legs; Drive powerfully with legs; Control recovery.","https://example.com/images/rowing-machine.jpg","1. Secure feet. Sit tall, grip handle.\n2. Catch: shins vertical, arms straight, back upright.\n3. Drive: Push legs, swing torso, pull arms to lower ribs.\n4. Finish: Legs straight, torso leaned back, handle near ribs.\n5. Recovery: Extend arms, lean forward, bend knees.\n6. Maintain consistent rate/power.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Lats""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Upper Back""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Biceps""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""5""}}}]","Rowing (Machine)","2025-03-14T10:10:00.000000","Steady-State Rowing; Interval Training; Power Strokes","https://www.youtube.com/watch?v=howto-rowing-machine"
"a1b2c3d4-e5f6-7890-1234-abcdef123453","Cardio","Leaning heavily on handrails; Poor posture (slouching); Not using arm handles actively; Bouncing/jerky movements; Resistance too low.","2025-03-14T10:15:00.000000","Elliptical offers low-impact, full-body cardio simulating running/stair climbing without joint stress. Engages lower and upper body (with moving handles).","Beginner","Elliptical Trainer","Maintain upright posture, core engaged; Even weight distribution on feet; Smooth, controlled motion; Actively push/pull arm handles; Avoid locking knees.","https://example.com/images/elliptical-trainer.jpg","1. Step on pedals, grasp handles.\n2. Select program/resistance.\n3. Begin smooth elliptical motion.\n4. Coordinate arms/legs if using moving handles.\n5. Maintain steady pace.\n6. Cool down 3-5 min easy pace.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""4""}}},{""M"":{""name"":{""S"":""Biceps""},""primary"":{""N"":""3""}}},{""M"":{""name"":{""S"":""Triceps""},""primary"":{""N"":""3""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""4""}}}]","Elliptical Training","2025-03-14T10:15:00.000000","Reverse Pedaling; Interval Training; Upper Body Focus; Lower Body Focus","https://www.youtube.com/watch?v=howto-elliptical"
"a1b2c3d4-e5f6-7890-1234-abcdef123454","Cardio","Jumping too high; Swinging arms wide (use wrists); Landing flat-footed/heels; Incorrect rope length; Poor rhythm.","2025-03-14T10:20:00.000000","Jump rope is high-impact, effective cardio improving coordination, agility, footwork, bone density. Portable and versatile.","Beginner","Jump Rope","Keep jumps low; Turn rope with wrists, elbows close; Land softly on balls of feet; Upright posture, core engaged; Find consistent rhythm.","https://example.com/images/jump-rope.jpg","1. Stand feet together, hold handles.\n2. Swing rope over head.\n3. Jump slightly as rope approaches feet.\n4. Establish steady rhythm.\n5. Continue for duration/reps.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Forearms""},""primary"":{""N"":""4""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""4""}}},{""M"":{""name"":{""S"":""Agility/Coordination""},""primary"":{""N"":""7""}}}]","Jump Rope / Skipping","2025-03-14T10:20:00.000000","Double Unders; Single-Leg Jumps; High Knees; Butt Kicks; Criss-Cross; Weighted Rope","https://www.youtube.com/watch?v=howto-jump-rope"
"a1b2c3d4-e5f6-7890-1234-abcdef123455","Cardio","Leaning back; Not lifting knees high enough; Landing heavily; Ineffective arm swing.","2025-03-14T10:25:00.000000","High knees are a dynamic cardio drill (in place) elevating heart rate quickly. Improves coordination, leg power, hip flexor strength, engages core.","Beginner","None","Upright posture; Drive knees towards chest (hip height); Land softly on balls of feet; Use running arm motion; Keep core tight.","https://example.com/images/high-knees.jpg","1. Stand tall, feet hip-width, core engaged.\n2. Jog in place, lifting one knee high.\n3. Quickly alternate legs.\n4. Pump arms in sync.\n5. Maintain quick pace.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Hip Flexors""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""5""}}}]","High Knees","2025-03-14T10:25:00.000000","Slow Motion High Knees; Weighted High Knees; High Knee Skips; Traveling High Knees","https://www.youtube.com/watch?v=howto-high-knees"
"a1b2c3d4-e5f6-7890-1234-abcdef123456","Cardio","Leaning heavily on handrails; Poor posture (slouching); Taking very shallow steps; Looking down at feet.","2025-03-14T10:30:00.000000","Stair climbing provides an intense low-impact cardiovascular workout, effectively targeting the glutes, quadriceps, and calves while improving endurance.","Beginner","Stair Climber Machine","Maintain an upright posture, engaging the core; Use handrails only lightly for balance, not support; Take full, deliberate steps; Look straight ahead.","https://example.com/images/stair-climber.jpg","1. Select a program or manual mode.\n2. Begin climbing at a comfortable, steady pace.\n3. Maintain good posture and avoid leaning heavily on rails.\n4. Continue for the desired duration, adjusting speed as needed.\n5. Cool down with a slower pace for 2-3 minutes.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""4""}}}]","Stair Climbing (Machine)","2025-03-14T10:30:00.000000","Skipping steps (taking two at a time); No hands climbing; Interval training (alternating fast and slow periods); Sideways climbing.","https://www.youtube.com/watch?v=howto-stair-climber"
"a1b2c3d4-e5f6-7890-1234-abcdef123457","Cardio","Overstriding; Heavy heel striking; Poor posture; Improper footwear for terrain; Not warming up/cooling down; Ignoring traffic/obstacles.","2025-03-14T10:35:00.000000","Running outdoors offers cardiovascular benefits combined with fresh air and potentially varying terrain, which can challenge different muscle groups and improve balance compared to treadmill running.","Beginner-Advanced","Running Shoes (Optional: GPS Watch, Appropriate Clothing)","Adapt stride and pace to the terrain; Maintain upright posture; Land midfoot; Be aware of surroundings; Choose appropriate footwear; Warm-up before and cool down/stretch after.","https://example.com/images/outdoor-running.jpg","1. Plan your route and check weather.\n2. Perform a dynamic warm-up (5-10 mins).\n3. Start running at a comfortable pace.\n4. Maintain desired pace/intensity for the target distance or time.\n5. Be mindful of terrain and surroundings.\n6. Cool down with 5 minutes of walking/jogging.\n7. Stretch major muscle groups.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Hamstrings""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Glutes""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Calves""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""5""}}}]","Outdoor Running","2025-03-14T10:35:00.000000","Trail Running; Hill Repeats; Fartlek (speed play); Interval Training (structured work/rest periods); Tempo Runs (sustained faster pace).","https://www.youtube.com/watch?v=howto-outdoor-running"
"a1b2c3d4-e5f6-7890-1234-abcdef123458","Cardio","Hips too high (piked) or too low (sagging); Rounding the upper back; Not keeping core engaged; Bouncing or uncontrolled movements; Letting head drop.","2025-03-14T10:40:00.000000","Mountain climbers are a dynamic, full-body exercise that boosts cardiovascular fitness while strengthening the core, shoulders, and legs. It mimics the motion of climbing in a plank position.","Intermediate","None (Mat optional)","Maintain a strong plank position: straight line from head to heels; Engage core throughout; Drive knees towards chest without letting hips rise excessively; Keep shoulders stable over wrists; Control the movement.","https://example.com/images/mountain-climbers.jpg","1. Start in a high plank position, hands directly under shoulders, core tight.\n2. Bring one knee towards your chest, keeping the back flat.\n3. Quickly switch legs, bringing the other knee towards your chest while extending the first leg back.\n4. Continue alternating legs at a steady, rapid pace, like running in place in a plank.\n5. Breathe steadily throughout the movement.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""9""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Quadriceps""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Hip Flexors""},""primary"":{""N"":""7""}}}]","Mountain Climbers","2025-03-14T10:40:00.000000","Cross-Body Mountain Climbers (knee towards opposite elbow); Wide Mountain Climbers (knee towards outside of same-side elbow); Slow-Motion Mountain Climbers (focus on control); Spider Climbers (foot lands outside hand).","https://www.youtube.com/watch?v=howto-mountain-climbers"
"a1b2c3d4-e5f6-7890-1234-abcdef123459","Cardio","Standing flat-footed; Not rotating hips/shoulders with punches; Keeping movements stiff; Dropping hands (guard); Holding breath; Locking out elbows on punches.","2025-03-14T10:45:00.000000","Shadow boxing is a cardiovascular exercise involving mimicking boxing punches and footwork without an opponent or bag. It enhances coordination, agility, stamina, and punching technique.","Beginner-Intermediate","None","Stay light on the balls of your feet; Rotate hips and torso with punches for power; Keep your guard (hands) up near your face; Exhale sharply with each punch; Use footwork - move around, don't stay stationary; Keep a slight bend in elbows.","https://example.com/images/shadow-boxing.jpg","1. Assume a boxing stance (feet shoulder-width, non-dominant foot slightly forward, knees bent, hands up).\n2. Start moving around lightly on the balls of your feet.\n3. Throw various punches: jabs, crosses, hooks, uppercuts. Focus on form.\n4. Combine punches into combinations (e.g., jab-cross, jab-cross-hook).\n5. Incorporate defensive movements like slipping, rolling, and blocking.\n6. Maintain movement and punching for rounds (e.g., 2-3 minutes) with short rests in between.","[{""M"":{""name"":{""S"":""Cardiovascular System""},""primary"":{""N"":""8""}}},{""M"":{""name"":{""S"":""Shoulders""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Core""},""primary"":{""N"":""7""}}},{""M"":{""name"":{""S"":""Legs""},""primary"":{""N"":""6""}}},{""M"":{""name"":{""S"":""Back""},""primary"":{""N"":""5""}}},{""M"":{""name"":{""S"":""Coordination""},""primary"":{""N"":""8""}}}]","Shadow Boxing","2025-03-14T10:45:00.000000","Using light hand weights; Focusing on speed; Focusing on power; Specific combination drills; Mirror shadow boxing (watching form).","https://www.youtube.com/watch?v=howto-shadow-boxing"
